web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676496995-501","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO PORTADOR DE DEFICIENCIA","1.592.000,00","0,00","0,00","0,00","0,00"
"1676496995-502","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","5.273.192,00","1.681.200,53","31,88","1.666.764,59","1.619.896,79"
"1676496995-503","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","725.000,00","141.191,05","19,47","136.872,69","136.872,69"
"1676496995-504","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","27.472.789,00","17.659.141,18","64,28","17.649.723,26","17.610.085,95"
"1676496995-505","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","URBANISMO","972.643.453,00","771.989.928,05","79,37","730.204.207,28","710.009.287,10"
"1676496995-506","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","20.475.392,00","19.420.323,62","94,85","19.387.470,17","19.174.148,30"
"1676496995-507","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","580.000,00","13.770,00","2,37","13.770,00","9.885,00"
"1676496995-508","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ORDENAMENTO TERRITORIAL","41.689.000,00","32.463.778,99","77,87","21.392.626,58","21.392.626,58"
"1676496995-509","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","54.807.102,00","51.573.935,49","94,10","51.573.935,49","51.573.935,49"
"1676496995-510","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","537.931.482,00","381.431.465,95","70,91","354.747.914,14","336.931.869,75"
"1676496995-511","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICOS URBANOS","282.840.979,00","260.170.412,51","91,98","256.180.792,70","254.610.580,49"
"1676496995-512","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SANEAMENTO BASICO URBANO","21.000,00","0,00","0,00","0,00","0,00"
"1676496995-513","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECUPERACAO DE AREAS DEGRADADAS","500.000,00","0,00","0,00","0,00","0,00"
"1676496995-514","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONSERVACAO DE ENERGIA","33.798.498,00","26.916.241,49","79,64","26.907.698,20","26.316.241,49"
"1676496995-515","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","HABITACAO","65.454.848,00","26.056.632,17","39,81","24.815.628,47","24.769.590,15"
"1676496995-516","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","3.896.245,00","3.302.669,68","84,77","3.302.669,68","3.256.686,36"
"1676496995-517","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","268.084,00","10.648,00","3,97","10.648,00","10.648,00"
"1676496995-518","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","HABITACAO URBANA","61.290.519,00","22.743.314,49","37,11","21.502.310,79","21.502.255,79"
"1676496995-519","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SANEAMENTO","107.055.085,00","87.264.204,42","81,51","74.453.061,37","74.453.061,37"
"1676496995-520","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SANEAMENTO BASICO URBANO","107.055.085,00","87.264.204,42","81,51","74.453.061,37","74.453.061,37"
"1676496995-521","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","GESTAO AMBIENTAL","109.074.885,00","96.637.652,92","88,60","94.793.094,94","94.650.745,49"
"1676496995-522","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","66.713.890,00","65.194.812,35","97,72","65.162.083,28","65.032.613,83"
"1676496995-523","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","5.475.538,00","3.533.513,28","64,53","3.533.513,28","3.533.513,28"
"1676496995-524","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PRESERVACAO E CONSERVACAO AMBIENTAL","35.445.000,00","27.188.499,64","76,71","25.376.670,73","25.363.790,73"
"1676496995-525","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE AMBIENTAL","1.148.457,00","720.827,65","62,76","720.827,65","720.827,65"
"1676496995-526","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECURSOS HIDRICOS","292.000,00","0,00","0,00","0,00","0,00"
"1676496995-527","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CIENCIA E TECNOLOGIA","8.426.158,00","5.540.512,90","65,75","5.410.222,70","5.212.466,36"
"1676496995-528","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","4.991.218,00","4.733.261,04","94,83","4.602.970,84","4.520.214,50"
"1676496995-529","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","2.436.540,00","69.306,48","2,84","69.306,48","69.306,48"
"1676496995-530","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ORDENAMENTO TERRITORIAL","27.500,00","0,00","0,00","0,00","0,00"
"1676496995-531","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","0,00","0,00","0,00","0,00","0,00"
"1676496995-532","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFORMACAO E INTELIGENCIA","9.000,00","0,00","0,00","0,00","0,00"
"1676496995-533","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESENVOLVIMENTO CIENTIFICO","10.000,00","0,00","0,00","0,00","0,00"
"1676496995-534","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA","7.000,00","0,00","0,00","0,00","0,00"
"1676496995-535","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO","591.500,00","524.999,98","88,76","524.999,98","409.999,98"
"1676496995-536","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","353.400,00","212.945,40","60,26","212.945,40","212.945,40"
"1676496995-537","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMERCIO E SERVICOS","5.432.088,00","4.010.689,75","73,83","4.010.689,75","3.891.905,44"
"1676496995-538","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","3.964.088,00","3.579.120,90","90,29","3.579.120,90","3.501.371,27"
"1676496995-539","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","INFRA-ESTRUTURA URBANA","102.000,00","62.499,28","61,27","62.499,28","56.945,36"
"1676496995-540","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","1.366.000,00","369.069,57","27,02","369.069,57","333.588,81"
"1676496995-541","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACOES","14.146.186,00","12.210.959,65","86,32","12.210.959,65","11.174.359,65"
"1676496995-542","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","11.440.686,00","10.403.085,58","90,93","10.403.085,58","9.366.485,58"
"1676496995-543","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","0,00","0,00","0,00","0,00","0,00"
"1676496995-544","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TELECOMUNICACOES","2.705.500,00","1.807.874,07","66,82","1.807.874,07","1.807.874,07"
"1676496995-545","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENERGIA","122.165.954,00","117.865.413,25","96,48","117.841.581,89","117.841.581,89"
"1676496995-546","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENERGIA ELETRICA","122.165.954,00","117.865.413,25","96,48","117.841.581,89","117.841.581,89"
"1676496995-547","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRANSPORTE","195.032.963,00","185.897.427,58","95,32","185.897.427,58","182.597.112,39"
"1676496995-548","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICOS URBANOS","2.976.584,00","2.976.530,88","100,00","2.976.530,88","2.976.530,88"
"1676496995-549","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRANSPORTES COLETIVOS URBANOS","192.056.379,00","182.920.896,70","95,24","182.920.896,70","179.620.581,51"
"1676496995-550","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO E LAZER","14.507.271,00","13.043.619,18","89,91","13.043.619,18","12.785.161,42"
"1676496995-551","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO PORTADOR DE DEFICIENCIA","802.995,00","691.437,66","86,11","691.437,66","691.437,66"
"1676496995-552","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO DE RENDIMENTO","2.591.471,00","2.567.500,00","99,08","2.567.500,00","2.567.500,00"
"1676496995-553","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO COMUNITARIO","10.247.252,00","9.165.521,31","89,44","9.165.521,31","8.978.742,41"
"1676496995-554","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LAZER","865.553,00","619.160,21","71,53","619.160,21","547.481,35"
"1676496995-555","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENCARGOS ESPECIAIS","471.896.738,00","449.562.983,95","95,27","449.279.888,49","448.860.333,75"
"1676496995-556","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA INTERNA","123.823.564,00","121.278.462,37","97,94","121.278.462,37","121.278.462,37"
"1676496995-557","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA EXTERNA","165.038.000,00","162.435.366,44","98,42","162.435.366,44","162.435.366,44"
"1676496995-558","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","183.035.174,00","165.849.155,14","90,61","165.566.059,68","165.146.504,94"
"1676496995-559","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","34,00","0,00","0,00","0,00","0,00"
"1676496995-560","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2022&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","34,00","0,00","0,00","0,00","0,00"
"1676496998-561","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LEGISLATIVA","189.668.559,00","188.833.926,22","99,56","188.551.619,93","188.464.303,41"
"1676496998-562","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ACAO LEGISLATIVA","189.668.559,00","188.833.926,22","99,56","188.551.619,93","188.464.303,41"
"1676496998-563","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","JUDICIARIA","51.778.605,00","50.235.890,43","97,02","49.945.013,89","49.670.735,73"
"1676496998-564","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","REPRESENTACAO JUDICIAL E EXTRAJUDICIAL","528.000,00","153.900,32","29,15","0,00","0,00"
"1676496998-565","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","51.238.605,00","50.081.127,11","97,74","49.944.150,89","49.669.872,73"
"1676496998-566","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMACAO","12.000,00","863,00","7,19","863,00","863,00"
"1676496998-567","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ESSENCIAL A JUSTICA","834.579,00","147.243,15","17,64","147.243,15","147.243,15"
"1676496998-568","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","834.579,00","147.243,15","17,64","147.243,15","147.243,15"
"1676496998-569","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO","787.013.832,00","729.514.166,31","92,69","691.935.296,70","677.007.867,99"
"1676496998-570","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PLANEJAMENTO E ORCAMENTO","306.300,00","296.137,41","96,68","292.470,34","292.470,34"
"1676496998-571","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2021&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","745.757.088,00","714.770.915,02","95,85","678.639.491,85","664.680.150,40"
